Date,Open,High,Low,Close,Volume,Adj Close
2016-11-01,122.800003,124.760002,114.959999,115.580002,13028800,115.580002
2016-10-03,125.32,125.459999,118.419998,121.940002,9000900,121.940002
2016-09-01,124.669998,129.080002,124.550003,125.639999,10698900,125.639999
2016-08-01,128.570007,130.550003,124.639999,124.779999,9961200,124.779999
2016-07-01,127.660004,131.149994,125.110001,128.979996,13662700,128.979996
2016-06-01,115.970001,127.050003,115.199997,126.470001,14708300,126.470001
2016-05-02,123.779999,123.959999,115.290001,116.059998,9948700,116.059998
2016-04-01,116.080002,123.93,115.00,123.650002,11524800,123.650002
2016-03-01,118.739998,122.370003,116.160004,117.639999,12228100,117.639999
2016-02-01,107.540001,120.839996,107.349998,118.639999,16324300,118.639999
2016-01-04,103.129997,107.93,102.489998,106.949997,7776600,106.949997
2015-12-01,102.300003,104.209999,100.230003,101.459999,5825700,101.459999
2015-11-02,108.639999,108.839996,100.989998,101.919998,5682100,101.919998
2015-10-01,106.980003,113.989998,106.629997,109.300003,6230700,109.300003
2015-09-01,109.629997,110.82,105.269997,106.860001,5771200,106.860001
2015-08-03,104.589996,112.120003,103.779999,108.82,7414400,108.82
2015-07-01,112.120003,112.580002,103.43,104.93,7463000,104.93
2015-06-01,115.019997,115.610001,111.57,112.370003,5371100,112.370003
2015-05-01,112.419998,117.879997,112.279999,114.099998,5125200,114.099998
2015-04-01,114.559998,117.470001,112.769997,113.470001,5527400,113.470001
2015-03-02,116.50,116.639999,109.769997,113.660004,6266600,113.660004
2015-02-02,121.839996,123.160004,114.290001,116.160004,7049500,116.160004
2015-01-02,112.489998,125.580002,112.32,123.449997,10629500,123.449997
2014-12-01,113.800003,118.989998,112.410004,113.580002,7333900,113.580002
2014-11-03,112.389999,115.959999,109.669998,112.110001,8274200,112.110001
2014-10-01,116.610001,120.50,111.660004,112.660004,7538700,112.660004
2014-09-02,121.970001,122.660004,115.849998,116.209999,7176300,116.209999
2014-08-01,124.540001,126.809998,122.449997,123.860001,5803000,123.860001
2014-07-01,127.989998,129.210007,123.230003,123.389999,6841000,123.389999
2014-06-02,119.93,128.039993,119.419998,128.039993,7526800,128.039993
2014-05-01,123.169998,126.629997,119.620003,120.43,5811200,120.43
2014-04-01,123.709999,128.25,122.839996,124.220001,6581100,124.220001
2014-03-03,130.00,133.690002,123.57,123.610001,9281000,123.610001
2014-02-03,120.470001,129.529999,120.32,127.620003,8794100,127.620003
2014-01-02,117.93,122.510002,117.110001,120.089996,7663400,120.089996
2013-12-02,119.199997,122.32,114.459999,116.120003,9438200,116.120003
2013-11-01,126.860001,127.519997,119.129997,120.699997,6649700,120.699997
2013-10-01,125.25,131.440002,121.849998,127.739998,9183900,127.739998
2013-09-03,135.460007,136.789993,125.150002,128.179993,10642700,128.179993
2013-08-01,127.839996,137.550003,123.550003,134.619995,9194300,134.619995
2013-07-01,119.940002,130.139999,116.739998,127.959999,9424400,127.959999
2013-06-03,134.770004,137.619995,114.68,119.110001,14356600,119.110001
2013-05-01,140.589996,142.809998,130.850006,133.919998,13113900,133.919998
2013-04-01,154.570007,154.929993,130.509995,142.770004,21170800,142.770004
2013-03-01,153.160004,156.429993,151.399994,154.449997,8373300,154.449997
2013-02-01,162.660004,162.960007,150.839996,153.00,13501700,153.00
2013-01-02,163.490005,164.399994,158.889999,161.199997,11038200,161.199997
2012-12-03,166.110001,166.940002,158.389999,162.020004,10590300,162.020004
2012-11-01,167.020004,170.009995,162.300003,166.050003,8666000,166.050003
2012-10-01,172.830002,174.070007,164.600006,166.830002,8091300,166.830002
2012-09-04,164.110001,173.179993,163.660004,171.889999,12600900,171.889999
2012-08-01,155.179993,164.220001,153.610001,164.220001,9077400,164.220001
2012-07-02,154.669998,157.960007,150.850006,156.490005,7911400,156.490005
2012-06-01,155.410004,159.199997,150.149994,155.190002,11826400,155.190002
